Date,Rate Change (bp),New Rate (%)
12/15/2015,25.0,0.25
12/13/2016,25.0,0.5
3/14/2017,25.0,0.75
6/13/2017,25.0,1.0
12/12/2017,25.0,1.25
3/20/2018,25.0,1.75
6/12/2018,25.0,2.0
9/25/2018,25.0,2.25
12/18/2018,25.0,2.5
7/30/2019,-25.0,2.25
9/17/2019,-25.0,2.0
10/29/2019,-25.0,1.75
3/3/2020,-50.0,1.25
3/15/2020,-100.0,0.25
3/15/2022,25.0,0.25
5/3/2022,50.0,0.75
6/14/2022,75.0,1.5
7/26/2022,75.0,2.25
9/20/2022,75.0,3.0
11/1/2022,75.0,3.75
12/13/2022,50.0,4.25
1/31/2023,25.0,4.5
3/21/2023,25.0,4.75
5/2/2023,25.0,5.0
7/25/2023,25.0,5.25
9/17/2024,-50.0,4.75
