,PPZFA,PPZFA,PPZFA,PRICE,PRICE
,mean,std,count,sum,mean
Rate,,,,,
0.25,208.09,138.39,438,4849393564,11071674.8
0.75,212.07,139.18,42,375953164,8951265.81
1.25,176.0,183.84,26,163108159,6273390.73
1.5,201.62,93.96,13,160138834,12318371.85
1.75,244.71,224.6,91,2040640517,22424621.07
2.0,216.75,183.45,36,741586589,20599627.47
2.25,226.16,154.72,63,818418957,12990777.1
2.5,277.58,194.49,118,2211424543,18740885.96
3.0,223.27,158.21,22,226755017,10307046.23
3.75,229.21,148.93,28,231218775,8257813.39
4.25,252.95,232.25,22,193970432,8816837.82
4.5,227.18,84.98,11,105965000,9633181.82
4.75,221.11,104.99,9,185758822,20639869.11
5.0,204.03,132.01,69,742846488,10765891.13
5.25,244.01,210.4,311,3572488400,11487100.96
